基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,上涨季度比例,上涨月份比例,上涨星期比例,季涨跌幅标准差,月涨跌幅标准差,周涨跌幅标准差,最大回撤率,近3年年化收益率,近3年上涨季度比例,近3年上涨月份比例,近3年上涨星期比例,近3年季涨跌幅标准差,近3年月涨跌幅标准差,近3年周涨跌幅标准差,近3年最大回撤率,近1年年化收益率,近1年上涨月份比例,近1年上涨星期比例,近1年月涨跌幅标准差,近1年周涨跌幅标准差,近1年最大回撤率,最近一个月涨跌幅,近1年夏普比率,近3年夏普比率,近1年卡玛比率,近3年卡玛比率,全期最长回撤修复天数,近1年最长回撤修复天数,近3年最长回撤修复天数,全期最大单日跌幅,近1年最大单日跌幅,近3年最大单日跌幅,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
519680,交银增利债券A/B,2008/3/31,2026/2/27,24.89,17.91,5.48,76,73,63,2.63,1.51,0.56,14.19,4.55,92,86,65,0.76,0.44,0.25,1.47,5.29,100,69,0.31,0.21,0.71,0.89,2.76,1.62,7.5,3.1,429,55,120,-2.17,-0.53,-0.93,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/23
519682,交银增利债券C,2008/3/31,2026/2/27,3.64,17.91,5.04,76,71,62,2.62,1.5,0.56,14.52,4.13,92,83,64,0.76,0.44,0.25,1.54,4.86,92,69,0.31,0.21,0.71,0.85,2.48,1.4,6.88,2.68,474,55,121,-2.17,-0.53,-0.94,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/11/23
121009,国投瑞银稳定增利债券C,2008/1/11,2026/2/27,2.64,18.13,5.53,79,69,63,2.26,1.08,0.44,6.64,3.6,92,81,66,0.56,0.41,0.22,1.38,4.24,83,69,0.34,0.2,0.68,0.82,1.98,1.3,6.25,2.6,247,34,122,-1.81,-0.51,-0.78,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.3,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2021/4/24
001807,易方达瑞智灵活配置混合E,2017/6/21,2026/2/27,5.5,8.69,4.78,77,68,57,1.59,0.86,0.4,6.34,4.82,92,72,60,0.85,0.63,0.3,1.79,5.49,92,69,0.39,0.22,0.92,0.56,2.54,1.48,5.95,2.69,277,20,95,-1.2,-0.43,-0.67,混合型-灵活,开放申购,开放赎回,,10,1E+11,0.6,0.1,0.2,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2022/8/6
001249,易方达新利灵活配置混合,2015/4/30,2026/2/27,4.73,10.83,6.41,81,73,58,1.93,0.96,0.49,6.06,5.98,92,72,58,1.01,0.85,0.38,1.66,7.15,92,69,0.5,0.27,1.22,0.72,2.87,1.59,5.84,3.59,146,39,94,-1.66,-1.22,-1.66,混合型-灵活,开放申购,开放赎回,,10,1E+11,0.6,0.2,,1,fund_overview.最高认购费率,0.12,fund_purchase.手续费,2026/2/27,2024/9/11
008036,蜂巢恒利债券C,2020/9/23,2026/2/27,4.1,5.43,4.09,82,72,60,1.25,0.7,0.31,4.26,5.7,92,72,65,1.08,0.69,0.28,1.48,5.01,75,69,0.58,0.25,1.14,1.26,2.21,2.03,4.4,3.85,400,30,84,-0.89,-0.41,-0.89,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/8/22
007951,招商信用增强债券C,2019/9/18,2026/2/27,29.36,6.46,4.63,92,70,57,1.02,0.79,0.37,4.01,6.03,100,72,59,0.92,0.92,0.43,4.01,8.78,83,69,0.68,0.34,2.06,1.68,3.06,1.44,4.26,1.5,111,28,30,-1.57,-1.57,-1.57,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.5,0.1,0.3,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/4/1
009022,鹏华丰诚债券C,2020/3/25,2026/2/27,2.14,5.93,3.44,88,76,66,0.73,0.4,0.2,1.95,4.07,92,78,63,0.67,0.4,0.21,1.27,4.58,92,67,0.3,0.2,0.68,0.75,2.31,1.68,6.72,3.2,120,36,120,-0.75,-0.42,-0.75,债券型-混合一级,限大额,开放赎回,,10,1000000,0.3,0.1,0.3,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/9/3
161014,富国汇利回报两年定期开放债券,2010/9/9,2026/2/27,5.55,15.47,5.87,90,77,69,1.58,0.76,0.3,5.37,4.98,100,78,61,1.05,0.62,0.35,2.59,7.33,100,67,0.49,0.36,1.24,1.54,2.36,1.37,5.92,1.92,335,37,122,-0.99,-0.69,-0.94,债券型-混合一级,暂停申购,暂停赎回,2026/3/16,10,1E+11,0.5,0.15,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/6
008176,长信利保债券C,2019/11/11,2026/2/27,13.09,6.3,3.85,84,71,68,1.49,0.85,0.32,2.61,5.79,92,78,66,1.57,0.97,0.37,1.73,6.36,75,67,0.83,0.34,1.73,1.65,2.01,1.6,3.67,3.34,170,45,79,-1,-1,-1,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.5,0.1,0.1,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/9/25
000255,长城增强收益定开债券C,2013/9/6,2026/2/27,2.31,12.48,4.9,84,74,64,1.45,0.86,0.46,6.51,6.37,100,78,67,1.11,0.72,0.32,1.35,3.98,83,65,0.31,0.18,0.87,0.77,1.82,1.93,4.55,4.71,241,48,64,-2.54,-0.47,-0.47,债券型-混合一级,暂停申购,暂停赎回,2026/3/30,10,1E+11,0.6,0.2,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2020/7/18
001889,中欧增强回报债券(LOF)E,2015/10/8,2026/2/27,3.51,10.39,2.99,83,76,68,1.54,0.74,0.3,8.68,5.06,100,89,68,0.64,0.37,0.25,1.13,4.22,92,65,0.33,0.24,0.99,0.73,1.83,1.95,4.26,4.47,689,61,70,-1.7,-0.77,-1.07,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.08,0,,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2025/5/30
675113,西部利得汇享债券C,2017/3/10,2026/2/27,62.51,8.97,5.26,94,81,71,0.99,0.53,0.24,1.99,4.77,100,83,66,0.69,0.46,0.26,1.26,4.58,83,65,0.39,0.21,0.72,1.12,2.21,1.73,6.33,3.77,100,36,66,-0.94,-0.43,-0.94,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.5,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/10/10
000123,汇添富实业债债券C,2013/6/14,2026/2/27,10.06,12.71,5.42,84,72,61,1.91,0.96,0.48,7.23,7.39,100,75,59,1.37,1.06,0.67,7.23,8.79,83,65,0.71,0.53,2.37,1.11,2.04,1.22,3.71,1.02,427,63,67,-2.66,-1.6,-2.66,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/6/29
070026,嘉实信用债券C,2011/9/14,2026/2/27,5.89,14.46,4.36,79,73,61,1.69,0.78,0.35,6.12,3.83,92,81,66,0.68,0.37,0.19,1.23,4.26,83,63,0.35,0.21,1.06,0.47,1.81,1.68,4.01,3.12,428,36,90,-2.15,-0.45,-0.71,债券型-混合一级,限大额,开放赎回,,10,5000000,0.3,0.1,0.3,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/11/26
010057,平安瑞兴1年持有混合C,2020/11/4,2026/2/27,16.84,5.31,6.27,81,71,64,1.73,0.91,0.45,3.72,8.37,100,78,69,1.32,0.92,0.39,2.05,4.15,75,63,0.62,0.34,1.29,1.53,1.29,2.34,3.21,4.09,136,50,56,-1.74,-0.68,-1.74,混合型-偏债,开放申购,开放赎回,,10,1E+11,0.6,0.16,0.2,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/8/23
006717,平安惠金定开债C,2018/12/5,2026/2/27,2.63,7.23,3.52,83,73,65,1.23,0.67,0.33,4.75,3.85,92,81,60,0.88,0.52,0.28,2.33,4.16,83,61,0.38,0.24,1.06,0.9,1.66,1.15,3.91,1.65,372,46,62,-0.92,-0.37,-0.92,债券型-混合一级,暂停申购,暂停赎回,2026/4/21,10,1E+11,0.6,0.08,0.1,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2020/9/3
161221,国投瑞银双债债券C,2014/3/31,2026/2/27,2.97,11.92,6.69,90,73,59,2.41,1.09,0.47,6.15,4.64,100,72,59,0.81,0.6,0.32,1.81,6.51,92,61,0.63,0.35,1.26,1.49,2.17,1.3,5.16,2.56,461,31,120,-2.35,-0.91,-1.28,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.7,0.2,0.4,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/12/7
000182,景顺长城四季金利债券C,2013/7/30,2026/2/27,4.34,12.58,4.28,84,71,60,1.49,0.88,0.43,5.86,4.55,92,72,62,0.86,0.48,0.24,1.24,3.64,75,57,0.42,0.19,0.81,0.65,1.7,1.77,4.5,3.66,328,39,67,-1.31,-0.24,-0.85,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2023/8/25
590010,中邮稳定收益债券C,2012/11/21,2026/2/27,16.76,13.27,4.86,91,79,62,1.22,0.57,0.24,2.91,4.44,100,81,58,0.52,0.38,0.21,0.99,3.79,83,53,0.32,0.21,0.86,0.69,1.65,1.94,4.41,4.46,435,36,38,-2.04,-0.52,-0.81,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2025/9/2
